 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,label
53.0,853242.0,1.0,1.0,42.0,118.0,42.0,42.0,42.0,0.0,118.0,118.0,118.0,0.0,187.5200705,2.344000881,853242.0,0.0,853242.0,853242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,1.172000441,1.172000441,42.0,118.0,67.33333333,43.87862046,1925.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,42.0,118.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,1.0,118.0,-1.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80.0,1499429.0,2.0,5.0,20.0,11607.0,20.0,0.0,10.0,14.14213562,8760.0,0.0,2321.4,3802.315321,7754.285131,4.668443788,249904.8333,610963.5404,1497028.0,2.0,2081.0,2081.0,0.0,2081.0,2081.0,1499322.0,374830.5,748132.2708,1497028.0,2.0,0.0,0.0,0.0,0.0,52.0,112.0,1.333841082,3.334602705,0.0,8760.0,1453.375,3113.952607,9696700.839,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1661.0,10.0,2321.4,52.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,5.0,11607.0,8192.0,229.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
444.0,86726608.0,1775.0,1775.0,785275.0,10650.0,1274.0,6.0,442.4084507,251.4469546,6.0,6.0,6.0,0.0,9177.402626,40.93322778,24436.91406,502642.9002,28800000.0,20.0,86700000.0,48886.20913,711050.767,28900000.0,413.0,86700000.0,48887.41657,710231.7432,28800000.0,526.0,1.0,0.0,0.0,0.0,35500.0,35500.0,20.46661389,20.46661389,6.0,1274.0,224.16784,281.447616,79212.76055,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,224.2309859,442.4084507,6.0,35500.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.0,785275.0,1775.0,10650.0,255.0,3977.0,1774.0,20.0,23100000.0,26100000.0,41600000.0,4649995.0,17400000.0,16200000.0,28800000.0,5953706.0,3
80.0,72624181.0,8.0,5.0,56.0,11601.0,20.0,0.0,7.0,5.656854249,5840.0,0.0,2320.2,2436.833027,160.5112765,0.17900374,6052015.083,20400000.0,70900000.0,64.0,70900000.0,10100000.0,26800000.0,70900000.0,224.0,1722526.0,430631.5,848893.5613,1703914.0,202.0,0.0,0.0,0.0,0.0,172.0,112.0,0.110156148,0.068847592,0.0,5840.0,833.0714286,1774.906302,3150292.379,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,897.1538462,7.0,2320.2,172.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,56.0,5.0,11601.0,256.0,229.0,6.0,20.0,27763.0,0.0,27763.0,27763.0,70900000.0,0.0,70900000.0,70900000.0,2
443.0,62379.0,6.0,4.0,121.0,3110.0,121.0,0.0,20.16666667,49.39804315,1338.0,0.0,777.5,671.0238446,51796.27759,160.3103609,6931.0,12262.88009,28528.0,19.0,62379.0,12475.8,14894.2985,28727.0,19.0,29426.0,9808.666667,16752.91785,29153.0,48.0,0.0,0.0,0.0,0.0,204.0,136.0,96.18621652,64.12414434,0.0,1338.0,293.7272727,532.3957346,283445.2182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,323.1,20.16666667,777.5,204.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,121.0,4.0,3110.0,65535.0,4050.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1183.0,98.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,61224.4898,20408.16327,98.0,0.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,10204.08163,10204.08163,0.0,6.0,2.0,3.464101615,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
444.0,111406728.0,21.0,21.0,4584.0,126.0,705.0,6.0,218.2857143,254.8248698,6.0,6.0,6.0,0.0,42.27751846,0.37699698,2717237.268,12000000.0,54800000.0,34.0,111000000.0,5570320.6,16900000.0,54800000.0,426.0,111000000.0,5570320.45,16900000.0,54800000.0,534.0,1.0,0.0,0.0,0.0,420.0,420.0,0.18849849,0.18849849,6.0,705.0,110.372093,205.7253165,42322.90587,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,113.0,218.2857143,6.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4584.0,21.0,126.0,255.0,1452.0,20.0,20.0,583227.0,1907.774096,584576.0,581878.0,54800000.0,1449.568901,54800000.0,54800000.0,3
53875.0,75.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,160000.0,26666.66667,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,13333.33333,13333.33333,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,6.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,6.0,237.0,256.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1026.0,42.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,142857.1429,47619.04762,42.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,23809.52381,23809.52381,0.0,6.0,2.0,3.464101615,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
444.0,56538478.0,2.0,1.0,66.0,6.0,60.0,6.0,33.0,38.18376618,6.0,6.0,6.0,0.0,1.273469017,0.053061209,28300000.0,40000000.0,56500000.0,389.0,56500000.0,56500000.0,0.0,56500000.0,56500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,0.035374139,0.01768707,6.0,60.0,19.5,27.0,729.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,33.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.0,1.0,6.0,255.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,56500000.0,0.0,56500000.0,56500000.0,3
